job,iter,tstop,size,graph_class,schedule,tpart,graph,get_averages,burn_in,samples,fixed-temp,scale0,concurrent,flips,cut,ene,anneal,u,m,syncs,surprise_flips,gradient_difference_norm
121,0,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_2_outer.gset,True,5000,50000,True,1.0,True,6618.0,19478.0,-40092.0,1e-05,-39.9971,-0.0210943,4995.0,1430.0,31811.5
122,1,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_2_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
123,2,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_2_outer.gset,True,5000,50000,True,1.0,True,4920.0,19335.0,-39806.0,1e-05,-39.7637,0.0264003,4995.0,1277.0,21858.4
124,3,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_2_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
125,4,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_2_outer.gset,True,5000,50000,True,1.0,True,6502.0,19039.0,-39214.0,1e-05,-39.1442,-0.00237134,4995.0,1343.0,31922.5
126,5,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_2_outer.gset,True,5000,50000,True,1.0,True,5295.0,19308.0,-39752.0,1e-05,-39.6986,-0.0442963,4995.0,1290.0,24125.9
127,6,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_2_outer.gset,True,5000,50000,True,1.0,True,7883.0,19559.0,-40254.0,1e-05,-39.4738,-0.0117582,4995.0,1456.0,41361.4
128,7,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_2_outer.gset,True,5000,50000,True,1.0,True,8130.0,19056.0,-39248.0,1e-05,-39.2267,0.000248803,4995.0,1032.0,41418.3
129,8,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_2_outer.gset,True,5000,50000,True,1.0,True,10251.0,19662.0,-40460.0,1e-05,-40.2704,-0.0194159,4995.0,1996.0,50312.8
130,9,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_2_outer.gset,True,5000,50000,True,1.0,True,6789.0,19654.0,-40444.0,1e-05,-40.3459,0.0313257,4995.0,1169.0,33611.9
131,10,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_2_outer.gset,True,5000,50000,True,1.0,True,7438.0,19579.0,-40294.0,1e-05,-40.0501,-0.0143851,4995.0,1482.0,37253.0
132,11,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_2_outer.gset,True,5000,50000,True,1.0,True,7091.0,19129.0,-39394.0,1e-05,-39.2205,-0.00390731,4995.0,1280.0,35789.1
133,12,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_2_outer.gset,True,5000,50000,True,1.0,True,9206.0,19812.0,-40760.0,1e-05,-40.6588,0.0196723,4995.0,1521.0,48112.5
134,13,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_2_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
135,14,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_2_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
136,15,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_2_outer.gset,True,5000,50000,True,1.0,True,3028.0,19020.0,-39176.0,1e-05,-39.1525,-0.00795758,4995.0,868.0,13086.2
137,16,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_2_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
138,17,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_2_outer.gset,True,5000,50000,True,1.0,True,6648.0,19180.0,-39496.0,1e-05,-39.2689,-0.0169497,4995.0,1409.0,32452.3
139,18,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_2_outer.gset,True,5000,50000,True,1.0,True,9153.0,19330.0,-39796.0,1e-05,-39.7586,-0.0117079,4995.0,1645.0,46344.5
140,19,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_2_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
