graph,blocks,Type,tpart,concurrent,index,job,iter,scale1,tstop,scale0,flips,updates,neighbor_updates,cut,ene,anneal,u,m,syncs,surprise_flips,gradient_difference_norm,tstep,nodes,edges,BKS,Ratio,GInd,Inverse Ratio,bits,GS,target,factor,TTT,BTT,solved
G040,8,BA,7.0644359863032585e-09,False,16739.5,16740.5,19.5,0.8,2e-05,3.0,1309967.85,648651.625,72878.85,2324.525,-4747.05,2.00052e-05,0.0,0.0,,,,2.2e-11,2000.0,11766.0,2400.0,0.9685520833333333,40.0,0.03144791666666667,5662164.690507948,0.025,0.98,181.89450638245114,0.0036388359790822116,1029916651.4360875,True
G039,8,BA,7.0644359863032585e-09,False,16699.5,16700.5,19.5,0.8,2e-05,3.0,1339106.325,660935.275,74711.025,2332.275,-4636.55,2.00052e-05,0.0,0.0,,,,2.2e-11,2000.0,11778.0,2408.0,0.9685527408637874,39.0,0.031447259136212616,5662164.690507948,0.025,0.98,181.89450638245114,0.0036388359790822116,1029916651.4360875,True
G041,8,BA,1.4617293520857793e-08,False,16299.5,16300.5,19.5,0.8,2e-05,3.0,1590951.875,406030.375,45805.225,2326.325,-4669.65,2.00138e-05,0.0,0.0,,,,2.2e-11,2000.0,11785.0,2405.0,0.9672869022869023,41.0,0.03271309771309769,2736484.6948529133,0.025,0.98,181.89450638245114,0.003640400271837101,497751532.7934031,True
G040,8,BA,1.4617293520857793e-08,False,16259.5,16260.5,19.5,0.8,2e-05,3.0,1569136.175,400229.425,45102.625,2324.475,-4746.95,2.00138e-05,0.0,0.0,,,,2.2e-11,2000.0,11766.0,2400.0,0.9685312500000001,40.0,0.03146875,2736484.6948529133,0.025,0.98,181.89450638245114,0.003640400271837101,497751532.7934031,True
G027,8,ER,4.350620264355322e-08,False,15379.5,15380.5,19.5,0.8,2e-05,3.0,1153603.225,203254.425,10676.675,3220.15,-6482.3,2.00174e-05,0.0,0.0,,,,2.2e-11,2000.0,19990.0,3341.0,0.9638281951511523,27.0,0.03617180484884765,919409.1317902515,0.025,0.98,181.89450638245114,0.0036410550920600773,167235470.19050577,True
G040,4,BA,4.350620264355322e-08,False,5939.5,5940.5,19.5,0.8,2e-05,3.0,3560894.6,311351.4,34741.5,2327.05,-4752.1,2.00174e-05,0.0,0.0,,,,2.2e-11,2000.0,11766.0,2400.0,0.9696041666666666,40.0,0.030395833333333323,919409.1317902515,0.025,0.98,181.89450638245114,0.0036410550920600773,167235470.19050577,True
G041,4,BA,4.350620264355322e-08,False,5979.5,5980.5,19.5,0.8,2e-05,3.0,3607946.925,315712.8,35267.925,2331.0,-4679.0,2.00174e-05,0.0,0.0,,,,2.2e-11,2000.0,11785.0,2405.0,0.9692307692307693,41.0,0.030769230769230736,919409.1317902515,0.025,0.98,181.89450638245114,0.0036410550920600773,167235470.19050577,True
G041,4,BA,3.0245198666839334e-08,False,6219.5,6220.5,19.5,0.8,2e-05,3.0,3503364.45,440988.0,49442.15,2335.3,-4687.6,2.00255e-05,0.0,0.0,,,,2.2e-11,2000.0,11785.0,2405.0,0.9710187110187111,41.0,0.028981288981288943,1322523.9629143444,0.025,0.98,181.89450638245114,0.0036425284375617754,240559843.4132678,True
G040,8,BA,3.0245198666839334e-08,False,15779.5,15780.5,19.5,0.8,2e-05,3.0,1733632.25,217267.125,24313.3,2308.725,-4715.45,2.00255e-05,0.0,0.0,,,,2.2e-11,2000.0,11766.0,2400.0,0.9619687499999999,40.0,0.03803125,1322523.9629143444,0.025,0.98,181.89450638245114,0.0036425284375617754,240559843.4132678,True
G027,8,ER,3.0245198666839334e-08,False,15619.5,15620.5,19.5,0.8,2e-05,3.0,1097179.5,275338.025,14507.95,3239.05,-6520.1,2.00255e-05,0.0,0.0,,,,2.2e-11,2000.0,19990.0,3341.0,0.9694851840766237,27.0,0.030514815923376237,1322523.9629143444,0.025,0.98,181.89450638245114,0.0036425284375617754,240559843.4132678,True
